,text,intent,intent_ovr
0,yes,yesNode,convo
1,oh yeah,yesNode,convo
2,alright,yesNode,convo
3,absolutely,yesNode,convo
4,oh absolutely,yesNode,convo
5,definitely,yesNode,convo
6,yes i am,yesNode,convo
7,oh sure i am,yesNode,convo
8,oh all right i am,yesNode,convo
9,oh absolutely i am,yesNode,convo
10,oh definitely i am,yesNode,convo
11,yes i do,yesNode,convo
12,oh yeah i do,yesNode,convo
13,sure i do,yesNode,convo
14,alright i do,yesNode,convo
15,oh all right i do,yesNode,convo
16,oh definitely i do,yesNode,convo
17,yea i have,yesNode,convo
18,oh sure i have,yesNode,convo
19,oh yes i will,yesNode,convo
20,oh sure i will,yesNode,convo
21,oh all right i will,yesNode,convo
22,absolutely i will,yesNode,convo
23,oh definitely i will,yesNode,convo
24,yea i would,yesNode,convo
25,yeah i would,yesNode,convo
26,sure i would,yesNode,convo
27,oh absolutely i would,yesNode,convo
28,oh yes i did,yesNode,convo
29,oh yea i did,yesNode,convo
30,sure i did,yesNode,convo
31,oh sure i did,yesNode,convo
32,oh alright i did,yesNode,convo
33,absolutely i did,yesNode,convo
34,yes i had,yesNode,convo
35,oh yes i had,yesNode,convo
36,oh yea i had,yesNode,convo
37,sure i had,yesNode,convo
38,alright i had,yesNode,convo
39,absolutely i had,yesNode,convo
40,yeah indeed,yesNode,convo
41,sure indeed,yesNode,convo
42,oh sure indeed,yesNode,convo
43,yeah absolutely,yesNode,convo
44,all right absolutely,yesNode,convo
45,yeah definitely,yesNode,convo
46,oh alright definitely,yesNode,convo
47,absolutely definitely,yesNode,convo
48,yeah i think,yesNode,convo
49,alright i think,yesNode,convo
50,oh definitely i think,yesNode,convo
51,of course i will,yesNode,convo
52,of course i did,yesNode,convo
53,i think i do,yesNode,convo
54,i think i will,yesNode,convo
55,i think i did,yesNode,convo
56,i think i would,yesNode,convo
57,definitely agree,yesNode,convo
58,probably yes,yesNode,convo
59,probably yea,yesNode,convo
60,okey,yesNode,convo
61,ok,yesNode,convo
62,o. k.,yesNode,convo
63,that sounds like a good idea,yesNode,convo
64,it sounds like a good idea,yesNode,convo
65,it sounds good to me,yesNode,convo
66,it sounds like a good idea to me,yesNode,convo
67,i do,yesNode,convo
68,i will,yesNode,convo
69,yep,yesNode,convo
70,yup,yesNode,convo
71,i can't see why not,yesNode,convo
72,can't wait,yesNode,convo
73,yes please,yesNode,convo
74,true,yesNode,convo
75,oh yes kind of,yesNode,convo
76,oh yea kind of,yesNode,convo
77,kind of,yesNode,convo
78,yes sort of,yesNode,convo
79,oh yes sort of,yesNode,convo
80,yeah sort of,yesNode,convo
81,oh yeah sort of,yesNode,convo
82,very much,yesNode,convo
83,yes i guess so,yesNode,convo
84,yea i guess so,yesNode,convo
85,i guess so,yesNode,convo
86,yea exactly,yesNode,convo
87,oh yeah probably,yesNode,convo
88,yea quite,yesNode,convo
