,text,subject,intent_ovr
0,"As U.S. budget fight looms, Republicans flip their fiscal script",politicsNews,facts
1,U.S. military to accept transgender recruits on Monday: Pentagon,politicsNews,facts
2,Senior U.S. Republican senator: 'Let Mr. Mueller do his job',politicsNews,facts
3,FBI Russia probe helped by Australian diplomat tip-off: NYT,politicsNews,facts
4,Trump wants Postal Service to charge 'much more' for Amazon shipments,politicsNews,facts
5,"White House, Congress prepare for talks on spending, immigration",politicsNews,facts
6,"Trump says Russia probe will be fair, but timeline unclear: NYT",politicsNews,facts
7,"Factbox: Trump on Twitter (Dec 29) - Approval rating, Amazon",politicsNews,facts
8,Trump on Twitter (Dec 28) - Global Warming,politicsNews,facts
9,Alabama official to certify Senator-elect Jones today despite challenge: CNN,politicsNews,facts
10,Jones certified U.S. Senate winner despite Moore challenge,politicsNews,facts
11,New York governor questions the constitutionality of federal tax overhaul,politicsNews,facts
12,"Factbox: Trump on Twitter (Dec 28) - Vanity Fair, Hillary Clinton",politicsNews,facts
13,"Trump on Twitter (Dec 27) - Trump, Iraq, Syria",politicsNews,facts
14,Man says he delivered manure to Mnuchin to protest new U.S. tax law,politicsNews,facts
15,Virginia officials postpone lottery drawing to decide tied statehouse election,politicsNews,facts
16,U.S. lawmakers question businessman at 2016 Trump Tower meeting: sources,politicsNews,facts
17,"Trump on Twitter (Dec 26) - Hillary Clinton, Tax Cut Bill",politicsNews,facts
18,U.S. appeals court rejects challenge to Trump voter fraud panel,politicsNews,facts
19,Treasury Secretary Mnuchin was sent gift-wrapped box of horse manure: reports,politicsNews,facts
20,Federal judge partially lifts Trump's latest refugee restrictions,politicsNews,facts
21,Exclusive: U.S. memo weakens guidelines for protecting immigrant children in court,politicsNews,facts
22,Trump travel ban should not apply to people with strong U.S. ties: court,politicsNews,facts
23,Second court rejects Trump bid to stop transgender military recruits,politicsNews,facts
24,Failed vote to oust president shakes up Peru's politics,politicsNews,facts
25,"Trump signs tax, government spending bills into law",politicsNews,facts
26,Companies have up to a year for new U.S. tax bill reporting: SEC,politicsNews,facts
27,"Trump on Twitter (Dec 22) - Tax cut, Missile defense bill",politicsNews,facts
28,Mexico to review need for tax changes after U.S. reform-document,politicsNews,facts
29,Senate leader McConnell sees a more collegial 2018,politicsNews,facts
30,Alabama to certify Democrat Jones winner of Senate election,politicsNews,facts
31,McConnell happier with Trump tweets after tax victory,politicsNews,facts
32,House panel asks Trump ex-top aide Bannon to testify: Bloomberg,politicsNews,facts
33,Callista Gingrich becomes Trump's envoy to pope as differences mount,politicsNews,facts
34,"As Republicans aim to ride economy to election victory, a warning from voters in key district",politicsNews,facts
35,Exclusive: State Department tells refugee agencies to downsize U.S. operations,politicsNews,facts
36,"Congress votes to avert shutdown, sends Trump stopgap spending bill",politicsNews,facts
37,Factbox: Big-ticket items at center of Congress spending bill,politicsNews,facts
38,"In victory for Trump, judge tosses suit on foreign payments",politicsNews,facts
39,Senate shelves disaster aid bill until next month,politicsNews,facts
40,"Trump on Twitter (Dec 21) - Tax Cuts, Home sales",politicsNews,facts
41,House widens ethics probe to include Farenthold campaign work,politicsNews,facts
42,U.S. court rejects Trump bid to stop transgender military recruits on Jan. 1,politicsNews,facts
43,U.S. House approves $81 billion for disaster aid,politicsNews,facts
