,text,intent_ovr
10588,Trump's immigration outrage poses challenge for Cruz in Texas,facts
8151,Nearly half of Americans ‘very concerned’ about Clinton emails: Reuters/Ipsos poll,facts
5369,U.S. infrastructure legislation back on Congress' radar,facts
3922,U.S. House clears way to debate Republican healthcare bill,facts
515,Senate Republican signals possible committee 'no' vote on tax bill,facts
12695,"Polish parliament, defying EU, approves judiciary overhaul",facts
15239,Police question Netanyahu for fifth time in corruption case,facts
9841,Nearly half Australians shrink at prospect of President Trump: poll,facts
12299,Italy adopts living wills allowing patients to refuse treatment,facts
1235,"In a sudden flurry, Trump looks to deliver for his voters",facts
12898,"Russia's Putin, pulling no surprises, says he'll seek re-election",facts
10927,Lawyers see limited legal options for workers sent in Zika's way,facts
14697,Canada will not send peacekeepers to Mali in near future: officials,facts
10870,"U.S. can still hit climate goals despite Supreme Court pause, White House says",facts
10225,U.S. says it may not need Apple to open San Bernardino iPhone,facts
10648,U.S. needs to streamline foreign arms sales approval process - McCain,facts
7408,Democrat Hassan wins New Hampshire Senate race,facts
13966,Covering Mugabe for Reuters - 'You're the one who says I'm dying?',facts
346,Ex-U.S. consumer bureau head Cordray set to run for Ohio governor,facts
10436,FBI hints Iran now cooperating in hunt for missing former agent,facts
351,"Trump says encouraging Hatch to run for re-election, possibly blocking a Romney bid",facts
9786,Jury deadlocks over tax-evasion charges against Washington state auditor,facts
17100,Catalonia to formally declare independence if Spain suspends regional autonomy: source,facts
21109,EU's Tusk says ready to ramp up sanctions against North Korea,facts
7602,Wedge issue: Texas golf range offers Clinton and Trump targets,facts
8867,U.S. Republicans push back on Democratic gun-control efforts,facts
10643,"In Florida, Donald Trump has a model for success",facts
19446,Myanmar protesters try to block aid shipment to Muslim Rohingya,facts
10031,White House: Congress would have most impact on fighting tax avoidance,facts
8757,U.S. lawmakers introduce bill to criminalize ‘revenge porn’,facts
7718,"In battleground Florida, tough stance on felons may sap votes for Democrats",facts
12945,Syrian president says Jerusalem to be Palestinian capital,facts
21361,"'Let's get emotional' says German SPD, struggling to oust Merkel",facts
12875,Thai police arrest Hells Angels gang members,facts
324,"Trump, Obama dominate Twitter year, but chicken nuggets prevail",facts
17718,"Fearing Trump torpedo, Europe scrambles to save Iran deal",facts
19518,Iran regional behavior means nuclear deal not enough: Macron,facts
9945,Trump's jobs homecoming a long shot even in manufacturing hot spots ,facts
8291,Putin says he doesn't know who hacked U.S. Democratic Party: Bloomberg,facts
11174,Michigan governor apologizes for Flint water crisis,facts
317,Credit union sues to block Mulvaney from leading CFPB,facts
6005,Trump weighs next executive orders on national security: White House,facts
18789,U.S. envoy slams Russia for bid to shield Iran from IAEA inspections,facts
8869,Judge blocks Kansas' attempt to cut Planned Parenthood from Medicaid,facts
7948,"'Study, pray, vote,' Pope tells Americans ahead of elections",facts
9096,Philadelphia passes soda tax after mayor rewrites playbook,facts
16632,Namibia dismisses U.N. expert's claims on North Korea ties,facts
21166,The rocky history of NAFTA,facts
14294,"Only five ministers, attorney general turn up for Zimbabwe cabinet meeting: sources",facts
8028,"Debates to help half of U.S. voters decide between Clinton, Trump: poll",facts
20949,Egypt says suspended U.S. military exercises to resume,facts
17064,Earthquake of magnitude 6.1 strikes off southern Japan: USGS,facts
3298,Trump lawyer criticizes Comey's leak to news media,facts
10857,Senate panel to hear from U.S. antitrust bosses,facts
10861,State Dept. subpoenaed documents from Clinton Foundation: report,facts
17260,Inspection battle threatens Egypt's wheat supply,facts
13952,"North Korea replaces soldiers, South Korea awards medals after defector's border dash",facts
11645,Russia may widen designation for media outlets it deems 'foreign agents': Ifax,facts
15186,South Korea says it will join U.S. aircraft carrier drill November 11-14,facts
11714,"French PM defends flight home for 350,000 euros",facts
16280,NATO says Catalonia issue domestic matter to be resolved by Spain,facts
249,Rep. Franks to resign after staff members' complaints of harassment,facts
21162,Nearly 400 die as Myanmar army steps up crackdown on Rohingya militants,facts
14108,Palestinian factions agree to hold general election by end-2018,facts
13531,U.N. welcomes move by Libya to help find refugee solutions,facts
5408,"Senior House Democrats want briefing on Flynn, Russians",facts
20359,Philippine police halt drug tests after residents petition court,facts
13161,Lebanon's Hariri to meet major powers in Paris,facts
15659,Philippines frees four East Timorese to attend ASEAN meeting,facts
13738,Israel pushes on with law seen protecting PM under criminal probe,facts
11574,Factbox: U.S. isolated as 128 nations at U.N. condemn Jerusalem decision,facts
9501,Clinton aide criticizes Trump has having 'bizarre fascination with foreign strongmen',facts
16861,U.S. must step up support for operation against West Africa militants: France,facts
4497,"Trump aides, lawmakers hold talks to revive healthcare bill",facts
6891,Trump's Boeing comments reflect bid to save taxpayer money: aides,facts
13642,Rouhani says Saudis call Iran an enemy to conceal defeat in region,facts
14751,Collapsed state housing in Iranian quake shows corruption: Rouhani,facts
19475,EU's Barnier says wants proposal from May on EU citizens' rights in Britain,facts
18632,Tens of thousands march for abortion rights in Ireland,facts
1791,"Trump, Malaysian PM discuss trade deals, Boeing jets",facts
18097,NZ opposition Labour says in a stronger position to negotiate government after final election tally,facts
16623,France to discuss possible new Rafale sale with Egypt's al-Sisi: Le Maire,facts
3310,"Some toast Comey testimony, others shrug at U.S. bar 'watch parties'",facts
7282,"'The Rock' talks a future in politics, including potential White House run",facts
16742,"North Korea threat is 'critical, imminent,' Japan tells U.S., South Korea",facts
18858,"Trump administration proposes to cut refugee cap to 45,000",facts
6503,Reports that Trump eyeing revamp of spy agencies are false: spokesman,facts
16768,Cambodian PM says main opposition party will be dissolved,facts
11578,British police say lifting road closures near Buckingham Palace,facts
9074,"Immigration, abortion, race rulings due at Supreme Court",facts
1399,U.S. Senate approves Trump pick as top Fed regulatory official,facts
14156,Britain wants Zimbabwe to rejoin international community: PM May,facts
1556,Students protest U.S. Attorney General speech at Georgetown,facts
5650,"Emirates, Etihad, Qatar to let barred passengers on U.S. flights",facts
4067,Canada says ready to come to NAFTA talks 'at any time',facts
3090,Moscow cancels meeting with U.S. diplomat after sanctions,facts
4087,Factbox: U.S. Congress investigates links between Trump and Russia,facts
11543,South Africa's Zuma seeks to appeal ruling on influence-peddling,facts
20751,Japan's Abe agrees with Putin North Korea nuclear test threatens peace,facts
3047,White House close to naming nominees for U.S. SEC: senior official,facts
6666,Trump to Pennsylvania: See you in four years,facts
